Region,Country,TotalSales
Adventure Works,"Adventure Works 15.6"" LCD TV M130W Black",39
Adventure Works,"Adventure Works 15.6"" LCD TV M130W Brown",51
Adventure Works,"Adventure Works 15.6"" LCD TV M130W Silver",44
Adventure Works,"Adventure Works 15.6"" LCD TV M130W White",13
Adventure Works,"Adventure Works 19"" Color Digital TV E35 Black",164
Adventure Works,"Adventure Works 19"" Color Digital TV E35 Brown",111
Adventure Works,"Adventure Works 19"" Color Digital TV E35 Silver",55
Adventure Works,"Adventure Works 19"" Color Digital TV E35 White",74
Adventure Works,"Adventure Works 19"" Portable LCD HDTV M110 Black",121
Adventure Works,"Adventure Works 19"" Portable LCD HDTV M110 Silver",122
Adventure Works,"Adventure Works 19"" Portable LCD HDTV M110 White",97
Adventure Works,"Adventure Works 20"" Analog CRT TV E45 Black",155
Adventure Works,"Adventure Works 20"" Analog CRT TV E45 Brown",150
Adventure Works,"Adventure Works 20"" Analog CRT TV E45 Silver",146
Adventure Works,"Adventure Works 20"" Analog CRT TV E45 White",194
Adventure Works,"Adventure Works 20"" CRT TV E15 Black",197
Adventure Works,"Adventure Works 20"" CRT TV E15 Silver",87
Adventure Works,"Adventure Works 20"" CRT TV E15 White",216
Adventure Works,"Adventure Works 20"" LCD HDTV M120 Black",117
Adventure Works,"Adventure Works 20"" LCD HDTV M120 Brown",98
Adventure Works,"Adventure Works 20"" LCD HDTV M120 Silver",128
Adventure Works,"Adventure Works 20"" LCD HDTV M120 White",117
Adventure Works,"Adventure Works 26"" 720p LCD HDTV M140 Black",158
Adventure Works,"Adventure Works 26"" 720p LCD HDTV M140 Brown",117
Adventure Works,"Adventure Works 26"" 720p LCD HDTV M140 Silver",125
Adventure Works,"Adventure Works 26"" 720p LCD HDTV M140 White",84
Adventure Works,"Adventure Works 32"" LCD HDTV M130 Black",31
Adventure Works,"Adventure Works 32"" LCD HDTV M130 Brown",83
Adventure Works,"Adventure Works 32"" LCD HDTV M130 Silver",32
Adventure Works,"Adventure Works 32"" LCD HDTV M130 White",20
Adventure Works,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",44
Adventure Works,"Adventure Works 37"" 1080p LCD HDTV M150W White",29
Adventure Works,"Adventure Works 40"" LCD HDTV M690 Black",64
Adventure Works,"Adventure Works 40"" LCD HDTV M690 Brown",117
Adventure Works,"Adventure Works 40"" LCD HDTV M690 Silver",41
Adventure Works,"Adventure Works 40"" LCD HDTV M690 White",37
Adventure Works,"Adventure Works 42"" LCD HDTV M55 Black",264
Adventure Works,"Adventure Works 52"" LCD HDTV X590 Black",16
Adventure Works,"Adventure Works 52"" LCD HDTV X590 Brown",6
Adventure Works,"Adventure Works 52"" LCD HDTV X590 Silver",24
Adventure Works,"Adventure Works 52"" LCD HDTV X590 White",47
Adventure Works,"Adventure Works 52"" LCD HDTV X790W Black",58
Adventure Works,"Adventure Works 52"" LCD HDTV X790W Brown",39
Adventure Works,"Adventure Works 52"" LCD HDTV X790W Silver",34
Adventure Works,"Adventure Works 52"" LCD HDTV X790W White",64
Adventure Works,Adventure Works CRT15 E101 Black,143
Adventure Works,Adventure Works CRT15 E101 White,124
Adventure Works,Adventure Works CRT17 E105 Black,197
Adventure Works,Adventure Works CRT17 E105 White,173
Adventure Works,Adventure Works CRT19 E10 Black,185
Adventure Works,Adventure Works CRT19 E10 White,109
Adventure Works,Adventure Works Desktop PC1.60 ED160 Black,276
Adventure Works,Adventure Works Desktop PC1.60 ED160 Brown,317
Adventure Works,Adventure Works Desktop PC1.60 ED160 Silver,250
Adventure Works,Adventure Works Desktop PC1.60 ED160 White,275
Adventure Works,Adventure Works Desktop PC1.80 ED180 Black,346
Adventure Works,Adventure Works Desktop PC1.80 ED180 Brown,278
Adventure Works,Adventure Works Desktop PC1.80 ED180 Silver,379
Adventure Works,Adventure Works Desktop PC1.80 ED180 White,452
Adventure Works,Adventure Works Desktop PC1.80 ED182 Black,207
Adventure Works,Adventure Works Desktop PC1.80 ED182 Brown,215
Adventure Works,Adventure Works Desktop PC1.80 ED182 Silver,287
Adventure Works,Adventure Works Desktop PC1.80 ED182 White,580
Adventure Works,Adventure Works Desktop PC2.30 MD230 Black,56
Adventure Works,Adventure Works Desktop PC2.30 MD230 Brown,170
Adventure Works,Adventure Works Desktop PC2.30 MD230 Silver,52
Adventure Works,Adventure Works Desktop PC2.30 MD230 White,46
Adventure Works,Adventure Works Desktop PC2.33 XD233 Black,32
Adventure Works,Adventure Works Desktop PC2.33 XD233 Brown,18
Adventure Works,Adventure Works Desktop PC2.33 XD233 Silver,39
Adventure Works,Adventure Works Desktop PC2.33 XD233 White,24
Adventure Works,Adventure Works Desktop PC3.0 MS300 Black,351
Adventure Works,Adventure Works Desktop PC3.0 MS300 Silver,342
Adventure Works,Adventure Works Laptop12 M1200 Black,30
Adventure Works,Adventure Works Laptop12 M1201 Blue,209
Adventure Works,Adventure Works Laptop12 M1201 Red,191
Adventure Works,Adventure Works Laptop12 M1201 Silver,41
Adventure Works,Adventure Works Laptop12 M1201 White,165
Adventure Works,Adventure Works Laptop15 M1500 Black,215
Adventure Works,Adventure Works Laptop15 M1501 Blue,106
Adventure Works,Adventure Works Laptop15 M1501 Red,162
Adventure Works,Adventure Works Laptop15 M1501 Silver,129
Adventure Works,Adventure Works Laptop15 M1501 White,137
Adventure Works,Adventure Works Laptop15.4W M1548 Black,158
Adventure Works,Adventure Works Laptop15.4W M1548 Red,187
Adventure Works,Adventure Works Laptop15.4W M1548 Silver,153
Adventure Works,Adventure Works Laptop15.4W M1548 White,160
Adventure Works,Adventure Works Laptop16 M1600 Black,44
Adventure Works,Adventure Works Laptop16 M1601 Blue,118
Adventure Works,Adventure Works Laptop16 M1601 Red,120
Adventure Works,Adventure Works Laptop16 M1601 Silver,177
Adventure Works,Adventure Works Laptop16 M1601 White,201
Adventure Works,Adventure Works Laptop19 X1900 Black,22
Adventure Works,Adventure Works Laptop19W X1980 Blue,165
Adventure Works,Adventure Works Laptop19W X1980 Red,165
Adventure Works,Adventure Works Laptop19W X1980 Silver,114
Adventure Works,Adventure Works Laptop19W X1980 White,138
Adventure Works,Adventure Works Laptop8.9 E0890 Black,225
Adventure Works,Adventure Works Laptop8.9 E0890 Red,253
Adventure Works,Adventure Works Laptop8.9 E0890 Silver,182
Adventure Works,Adventure Works Laptop8.9 E0890 White,240
Adventure Works,Adventure Works LCD15 E100 Black,58
Adventure Works,Adventure Works LCD15 E100 White,192
Adventure Works,Adventure Works LCD17 E200 Black,146
Adventure Works,Adventure Works LCD17 E200 White,52
Adventure Works,Adventure Works LCD17W E203 Black,69
Adventure Works,Adventure Works LCD17W E203 White,168
Adventure Works,Adventure Works LCD19 E108 Black,86
Adventure Works,Adventure Works LCD19 E108 White,111
Adventure Works,Adventure Works LCD19W M100 Black,120
Adventure Works,Adventure Works LCD19W M100 White,119
Adventure Works,Adventure Works LCD20 M210 Black,9
Adventure Works,Adventure Works LCD20 M210 White,47
Adventure Works,Adventure Works LCD20W M240 Black,59
Adventure Works,Adventure Works LCD20W M240 White,36
Adventure Works,Adventure Works LCD22 M200 Black,32
Adventure Works,Adventure Works LCD22 M200 White,32
Adventure Works,Adventure Works LCD22W M200 Black,67
Adventure Works,Adventure Works LCD22W M200 White,83
Adventure Works,Adventure Works LCD24W X300 Black,130
Adventure Works,Adventure Works LCD24W X300 White,133
"Contoso, Ltd",Cigarette Lighter Adapter for Contoso Phones E110 Black,2120
"Contoso, Ltd",Cigarette Lighter Adapter for Contoso Phones E110 Red,2900
"Contoso, Ltd",Cigarette Lighter Adapter for Contoso Phones E110 White,3520
"Contoso, Ltd",Contoso 16GB Mp5 Player M1600 Blue,23
"Contoso, Ltd",Contoso 16GB Mp5 Player M1600 Red,10
"Contoso, Ltd",Contoso 16GB New Generation MP5 Player M1650 Pink,20
"Contoso, Ltd",Contoso 16GB New Generation MP5 Player M1650 Silver,28
"Contoso, Ltd",Contoso 16GB New Generation MP5 Player M1650 White,26
"Contoso, Ltd",Contoso 1G MP3 Player E100 White,108
"Contoso, Ltd",Contoso 2G MP3 Player E200 Black,204
"Contoso, Ltd",Contoso 2G MP3 Player E200 Blue,133
"Contoso, Ltd",Contoso 2G MP3 Player E200 Red,100
"Contoso, Ltd",Contoso 2G MP3 Player E200 Silver,142
"Contoso, Ltd",Contoso 2-Line Corded Cordless Telephone M202 Black,144
"Contoso, Ltd",Contoso 2-Line Corded Cordless Telephone M202 Grey,154
"Contoso, Ltd",Contoso 2-Line Corded Cordless Telephone M202 White,188
"Contoso, Ltd",Contoso 2-Line Speakerphone M109 Black,82
"Contoso, Ltd",Contoso 2-Line Speakerphone M109 Grey,147
"Contoso, Ltd",Contoso 2-Line Speakerphone M109 White,201
"Contoso, Ltd",Contoso 3 Handset Cordless Phone System  E30 Black,197
"Contoso, Ltd",Contoso 3 Handset Cordless Phone System E30 Grey,112
"Contoso, Ltd",Contoso 3 Handset Cordless Phone System E30 White,85
"Contoso, Ltd",Contoso 32GB Video MP3 Player M3200 Black,32
"Contoso, Ltd",Contoso 32GB Video MP3 Player M3200 Orange,87
"Contoso, Ltd",Contoso 32GB Video MP3 Player M3200 Pink,46
"Contoso, Ltd",Contoso 32GB Video MP3 Player M3200 Red,56
"Contoso, Ltd",Contoso 32GB Video MP3 Player M3200 White,79
"Contoso, Ltd",Contoso 4 Handset Cordless Phone System M86 Black,164
"Contoso, Ltd",Contoso 4 Handset Cordless Phone System M86 Grey,170
"Contoso, Ltd",Contoso 4 Handset Cordless Phone System M86 White,112
"Contoso, Ltd",Contoso 4G MP3 Player E400 Black,64
"Contoso, Ltd",Contoso 4G MP3 Player E400 Green,191
"Contoso, Ltd",Contoso 4G MP3 Player E400 Orange,162
"Contoso, Ltd",Contoso 4G MP3 Player E400 Silver,142
"Contoso, Ltd",Contoso 4GB Flash MP3 Player E401 Black,39
"Contoso, Ltd",Contoso 4GB Flash MP3 Player E401 Blue,129
"Contoso, Ltd",Contoso 4GB Flash MP3 Player E401 Silver,121
"Contoso, Ltd",Contoso 4GB Flash MP3 Player E401 White,31
"Contoso, Ltd",Contoso 4GB Portable MP3 Player M450 Black,19
"Contoso, Ltd",Contoso 4GB Portable MP3 Player M450 White,148
"Contoso, Ltd",Contoso 4GB Portable MP3 Player M450 Yellow,126
"Contoso, Ltd",Contoso 4-Line Corded Cordless Telephone M203 Grey,12
"Contoso, Ltd",Contoso 4-Line Corded Cordless Telephone M203 White,34
"Contoso, Ltd",Contoso 4-Line Expandable Cordless Phone System M900 Black,104
"Contoso, Ltd",Contoso 4-Line Expandable Cordless Phone System M900 White,140
"Contoso, Ltd",Contoso 512MB MP3 Player E51 Blue,150
"Contoso, Ltd",Contoso 512MB MP3 Player E51 Silver,81
"Contoso, Ltd",Contoso 8GB Clock & Radio MP3 Player X850 Black,157
"Contoso, Ltd",Contoso 8GB Clock & Radio MP3 Player X850 Blue,205
"Contoso, Ltd",Contoso 8GB Clock & Radio MP3 Player X850 Green,199
"Contoso, Ltd",Contoso 8GB Clock & Radio MP3 Player X850 Silver,97
"Contoso, Ltd",Contoso 8GB MP3 Player new model M820 Black,54
"Contoso, Ltd",Contoso 8GB MP3 Player new model M820 Blue,32
"Contoso, Ltd",Contoso 8GB MP3 Player new model M820 White,113
"Contoso, Ltd",Contoso 8GB MP3 Player new model M820 Yellow,105
"Contoso, Ltd",Contoso 8GB Super-Slim MP3/Video Player M800 Green,30
"Contoso, Ltd",Contoso 8GB Super-Slim MP3/Video Player M800 Pink,50
"Contoso, Ltd",Contoso 8GB Super-Slim MP3/Video Player M800 Red,94
"Contoso, Ltd",Contoso 8GB Super-Slim MP3/Video Player M800 White,60
"Contoso, Ltd",Contoso 90W AC/DC Power Adapter E300 Black,93
"Contoso, Ltd",Contoso 90W AC/DC Power Adapter E300 Grey,136
"Contoso, Ltd",Contoso 90W AC/DC Power Adapter E300 White,177
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 1 E100 Black,71
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 1 E100 Grey,78
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 1 E100 White,39
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 2 E200 Black,122
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 2 E200 Grey,112
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 3 E300 Black,64
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 3 E300 Grey,64
"Contoso, Ltd",Contoso ADSL Modem Splitter/Filter X 3 E300 White,24
"Contoso, Ltd",Contoso Battery charger - bike E200 Black,183
"Contoso, Ltd",Contoso Battery charger - bike E200 Grey,234
"Contoso, Ltd",Contoso Battery charger - bike E200 White,197
"Contoso, Ltd",Contoso Bedroom Phone with AM/FM Stereo and Call Waiting Caller ID M600 Black,145
"Contoso, Ltd",Contoso Bedroom Phone with AM/FM Stereo and Call Waiting Caller ID M600 White,56
"Contoso, Ltd",Contoso behind Centrex X15 Black,147
"Contoso, Ltd",Contoso behind Centrex X15 Grey,96
"Contoso, Ltd",Contoso Behind Centrex X15 White,89
"Contoso, Ltd",Contoso Bluetooth Active Headphones L15 Black,360
"Contoso, Ltd",Contoso Bluetooth Active Headphones L15 Red,120
"Contoso, Ltd",Contoso Bluetooth Active Headphones L15 White,840
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse E70 Black,244
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse E70 Grey,136
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse E70 Silver,183
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse E70 White,192
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse X305 Black,31
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse X305 Silver,22
"Contoso, Ltd",Contoso Bluetooth Notebook Mouse X305 White,27
"Contoso, Ltd",Contoso Bright Light battery E20 Black,108
"Contoso, Ltd",Contoso Bright Light battery E20 blue,108
"Contoso, Ltd",Contoso Bright Light battery E20 Pink,117
"Contoso, Ltd",Contoso Bright Light battery E20 White,105
"Contoso, Ltd",Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black,249
"Contoso, Ltd",Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey,140
"Contoso, Ltd",Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White,114
"Contoso, Ltd",Contoso Car power adapter M90 Black,158
"Contoso, Ltd",Contoso Car power adapter M90 Grey,117
"Contoso, Ltd",Contoso Car power adapter M90 White,186
"Contoso, Ltd",Contoso Carrying Case E312 Blue,148
"Contoso, Ltd",Contoso Carrying Case E312 Pink,155
"Contoso, Ltd",Contoso Carrying Case E312 Silver,192
"Contoso, Ltd",Contoso Carrying Case E312 White,126
"Contoso, Ltd",Contoso Centrex Phone System L10 Black,113
"Contoso, Ltd",Contoso Centrex Phone System L10 Grey,145
"Contoso, Ltd",Contoso Centrex Phone System L10 White,145
"Contoso, Ltd",Contoso Connectivity Starter Kit Smart Buy M680 Black,55
"Contoso, Ltd",Contoso Connectivity Starter Kit Smart Buy M680 Grey,93
"Contoso, Ltd",Contoso Connectivity Starter Kit Smart Buy M680 White,50
"Contoso, Ltd",Contoso Conversion Lens M550 Blue,48
"Contoso, Ltd",Contoso Conversion Lens M550 Silver,16
"Contoso, Ltd",Contoso Cyber Shot Digital Cameras Adapter E306 Black,49
"Contoso, Ltd",Contoso Cyber Shot Digital Cameras Adapter E306 Pink,23
"Contoso, Ltd",Contoso Desktop Alternative Bundle E200 Black,150
"Contoso, Ltd",Contoso Desktop Alternative Bundle E200 Grey,81
"Contoso, Ltd",Contoso Desktop Alternative Bundle E200 White,142
"Contoso, Ltd",Contoso Digital camera accessory kit M200 Black,171
"Contoso, Ltd",Contoso Digital Camera Accessory kit M200 Blue,22
"Contoso, Ltd",Contoso Digital camera accessory kit M200 Grey,115
"Contoso, Ltd",Contoso Digital camera accessory kit M200 White,133
"Contoso, Ltd",Contoso Digital Camera/Camcorder USB Cable E324 Black,105
"Contoso, Ltd",Contoso Digital Camera/Camcorder USB Cable E324 Purple,93
"Contoso, Ltd",Contoso Digital Camera/Camcorder USB Cable E324 Silver,101
"Contoso, Ltd",Contoso Digital Camera/Camcorder USB Cable E324 White,68
"Contoso, Ltd",Contoso Digital Cameras Lightweight Tripod E316 Black,86
"Contoso, Ltd",Contoso Digital Cameras Lightweight Tripod E316 Pink,108
"Contoso, Ltd",Contoso Digital Cameras Lightweight Tripod E316 Silver,10
"Contoso, Ltd",Contoso Digital Cameras Lightweight Tripod E316 White,136
"Contoso, Ltd",Contoso Digital Cordless Expansion Handset Phone M900 Black,36
"Contoso, Ltd",Contoso Digital Cordless Expansion Handset Phone M900 Grey,9
"Contoso, Ltd",Contoso Digital Cordless Expansion Handset Phone M900 White,10
"Contoso, Ltd",Contoso Dual Handset Cordless Phone System  E20 Black,208
"Contoso, Ltd",Contoso Dual Handset Cordless Phone System E20 Grey,146
"Contoso, Ltd",Contoso Dual Handset Cordless Phone System E20 White,142
"Contoso, Ltd",Contoso Dual USB Power Adapter - power adapter E300 Black,123
"Contoso, Ltd",Contoso Dual USB Power Adapter - power adapter E300 Grey,197
"Contoso, Ltd",Contoso Dual USB Power Adapter - power adapter E300 White,172
"Contoso, Ltd",Contoso DVD 12-Inch Player Portable M400 Black,63
"Contoso, Ltd",Contoso DVD 12-Inch Player Portable M400 Silver,72
"Contoso, Ltd",Contoso DVD 12-Inch Player Portable M400 White,189
"Contoso, Ltd",Contoso DVD 14-Inch Player Portable L100 Black,124
"Contoso, Ltd",Contoso DVD 14-Inch Player Portable L100 Silver,123
"Contoso, Ltd",Contoso DVD 14-Inch Player Portable L100 White,139
"Contoso, Ltd",Contoso DVD 15-Inch Player Portable L200 Black,83
"Contoso, Ltd",Contoso DVD 15-Inch Player Portable L200 Silver,225
"Contoso, Ltd",Contoso DVD 15-Inch Player Portable L200 White,121
"Contoso, Ltd",Contoso DVD 38 DVD Storage Binder E25 Black,156
"Contoso, Ltd",Contoso DVD 38 DVD Storage Binder E25 Red,145
"Contoso, Ltd",Contoso DVD 38 DVD Storage Binder E25 Silver,182
"Contoso, Ltd",Contoso DVD 48 DVD Storage Binder M50 Black,80
"Contoso, Ltd",Contoso DVD 48 DVD Storage Binder M50 Red,57
"Contoso, Ltd",Contoso DVD 48 DVD Storage Binder M50 Silver,111
"Contoso, Ltd",Contoso DVD 55DVD Storage Binder M56 Black,123
"Contoso, Ltd",Contoso DVD 55DVD Storage Binder M56 Red,84
