Year,Quarter,Month,Day,Region,Sum of Sales
2012,Qtr 1,January,23,Europe,13830.9356
2012,Qtr 1,January,23,North America,19973.538
2012,Qtr 1,January,24,Europe,18398.27
2012,Qtr 1,January,24,North America,32442.62
2012,Qtr 1,January,25,Asia,758.112
2012,Qtr 1,January,25,Europe,20982.9504
2012,Qtr 1,January,25,North America,10629.4315
2012,Qtr 1,January,26,Asia,2988.96
2012,Qtr 1,January,26,Europe,5316.8238
2012,Qtr 1,January,26,North America,17268.863
2012,Qtr 1,January,27,Asia,41.6
2012,Qtr 1,January,27,Europe,2958.64
2012,Qtr 1,January,27,North America,41794.323
2012,Qtr 1,January,28,Asia,14976.51
2012,Qtr 1,January,28,Europe,15486.9035
2012,Qtr 1,January,28,North America,34181.685
2012,Qtr 1,January,29,Asia,4353.968
2012,Qtr 1,January,29,Europe,6147.4928
2012,Qtr 1,January,29,North America,15741.311
2012,Qtr 1,January,30,Asia,8124.458
2012,Qtr 1,January,30,Europe,3327.8656
2012,Qtr 1,January,30,North America,66411.334
2012,Qtr 1,January,31,Asia,11386.8
2012,Qtr 1,January,31,Europe,8801.1821
2012,Qtr 1,January,31,North America,12415.27
2012,Qtr 1,February,1,Asia,25117.388
2012,Qtr 1,February,1,Europe,12545.4674
2012,Qtr 1,February,1,North America,30267.772
2012,Qtr 1,February,2,Asia,2856.518
2012,Qtr 1,February,2,Europe,21471.089
2012,Qtr 1,February,2,North America,20244.262
2012,Qtr 1,February,3,Europe,14459.52
2012,Qtr 1,February,3,North America,18049.8135
2012,Qtr 1,February,4,Europe,31529.7928
2012,Qtr 1,February,4,North America,13753.984
2012,Qtr 1,February,5,Asia,17623.22
2012,Qtr 1,February,5,Europe,318.45
2012,Qtr 1,February,5,North America,7932.9705
2012,Qtr 1,February,6,Asia,13357.06
2012,Qtr 1,February,6,Europe,6704.32
2012,Qtr 1,February,6,North America,38876.306
2012,Qtr 1,February,7,Asia,8422.928
2012,Qtr 1,February,7,Europe,1030.198
2012,Qtr 1,February,7,North America,29191.423
2012,Qtr 1,February,8,Asia,6879.1
2012,Qtr 1,February,8,Europe,2702.145
2012,Qtr 1,February,8,North America,19649.1925
2012,Qtr 1,February,9,Asia,2763.762
2012,Qtr 1,February,9,Europe,17756.0275
2012,Qtr 1,February,9,North America,9293.8525
2012,Qtr 1,February,10,Asia,252.48
2012,Qtr 1,February,10,Europe,7497.7514
2012,Qtr 1,February,10,North America,33057.529
2012,Qtr 1,February,11,Asia,7378.8
2012,Qtr 1,February,11,Europe,68.068
2012,Qtr 1,February,11,North America,14867.56
2012,Qtr 1,February,12,Asia,13504.026
2012,Qtr 1,February,12,Europe,7214.3007
2012,Qtr 1,February,12,North America,28864.3835
2012,Qtr 1,February,13,Asia,8713.764
2012,Qtr 1,February,13,Europe,8758.4884
2012,Qtr 1,February,13,North America,36491.8115
2012,Qtr 1,February,14,Asia,12239.2
2012,Qtr 1,February,14,Europe,15841.51
2012,Qtr 1,February,14,North America,20827.4715
2012,Qtr 1,February,15,Asia,2241.514
2012,Qtr 1,February,15,Europe,3857.6505
2012,Qtr 1,February,15,North America,11773.9925
2012,Qtr 1,February,16,Asia,1829.2
2012,Qtr 1,February,16,Europe,10976.181
2012,Qtr 1,February,16,North America,25377.987
2012,Qtr 1,February,17,Asia,10080.886
2012,Qtr 1,February,17,Europe,201.5014
2012,Qtr 1,February,17,North America,2774.5
2012,Qtr 1,February,18,Asia,19950.6
2012,Qtr 1,February,18,Europe,5374.21
2012,Qtr 1,February,18,North America,36846.2835
2012,Qtr 1,February,19,Asia,10544.348
2012,Qtr 1,February,19,Europe,6912.212
2012,Qtr 1,February,19,North America,23742.3055
2012,Qtr 1,February,20,Asia,1044
2012,Qtr 1,February,20,Europe,10080.042
2012,Qtr 1,February,20,North America,26231.5475
2012,Qtr 1,February,21,Asia,3993.45
2012,Qtr 1,February,21,Europe,37689.4099
2012,Qtr 1,February,21,North America,23015.2355
2012,Qtr 1,February,22,Asia,6436.396
2012,Qtr 1,February,22,Europe,5877.54
2012,Qtr 1,February,22,North America,17130.5485
2012,Qtr 1,February,23,Asia,10667.48
2012,Qtr 1,February,23,Europe,1040.1414
2012,Qtr 1,February,23,North America,10639.657
2012,Qtr 1,February,24,Asia,13590.478
2012,Qtr 1,February,24,Europe,12355.4938
2012,Qtr 1,February,24,North America,21988.265
2012,Qtr 1,February,25,Asia,11233.8
2012,Qtr 1,February,25,Europe,15425.48
2012,Qtr 1,February,25,North America,6770.0865
2012,Qtr 1,February,26,Asia,1969.4
2012,Qtr 1,February,26,Europe,3739.5356
2012,Qtr 1,February,26,North America,47808.735
2012,Qtr 1,February,27,Asia,21556.8
2012,Qtr 1,February,27,Europe,23537.638
2012,Qtr 1,February,27,North America,13402.91
2012,Qtr 1,February,28,Asia,11948.02
2012,Qtr 1,February,28,Europe,23903.65
2012,Qtr 1,February,28,North America,17448.29
2012,Qtr 1,February,29,Asia,13295.39
2012,Qtr 1,February,29,Europe,6728.798
2012,Qtr 1,February,29,North America,20316.572
2012,Qtr 1,March,1,Asia,242.64
2012,Qtr 1,March,1,Europe,4033.4042
2012,Qtr 1,March,1,North America,63434.3335
2012,Qtr 1,March,2,Asia,10246.34
2012,Qtr 1,March,2,Europe,10178.1924
2012,Qtr 1,March,2,North America,34782.105
2012,Qtr 1,March,3,Asia,5985.8
2012,Qtr 1,March,3,Europe,4026.47
2012,Qtr 1,March,3,North America,15734.401
2012,Qtr 1,March,4,Europe,1761.5877
2012,Qtr 1,March,4,North America,29860.9595
2012,Qtr 1,March,5,Asia,2547.2
2012,Qtr 1,March,5,Europe,14903.4
2012,Qtr 1,March,5,North America,48898.85
2012,Qtr 1,March,6,Asia,12283.914
2012,Qtr 1,March,6,Europe,6159.42
2012,Qtr 1,March,6,North America,27810.4
2012,Qtr 1,March,7,Asia,1079.6
2012,Qtr 1,March,7,Europe,9803.94
2012,Qtr 1,March,7,North America,107484.6
2012,Qtr 1,March,8,Asia,1057.8
2012,Qtr 1,March,8,Europe,3588
2012,Qtr 1,March,8,North America,51629.6
2012,Qtr 1,March,9,Asia,533.8
2012,Qtr 1,March,9,Europe,3956.88
2012,Qtr 1,March,9,North America,41465
2012,Qtr 1,March,10,Europe,8374.2
2012,Qtr 1,March,10,North America,97639.25
2012,Qtr 1,March,11,Asia,4693.6
2012,Qtr 1,March,11,Europe,8921.34
2012,Qtr 1,March,11,North America,20985.85
2012,Qtr 1,March,12,Asia,6852
2012,Qtr 1,March,12,Europe,8272.2
2012,Qtr 1,March,12,North America,36697.4
2012,Qtr 1,March,13,Asia,2011.164
2012,Qtr 1,March,13,Europe,7043.7
2012,Qtr 1,March,13,North America,46986.85
2012,Qtr 1,March,14,Asia,34920.1
2012,Qtr 1,March,14,North America,76185.45
2012,Qtr 1,March,15,Asia,589.926
2012,Qtr 1,March,15,Europe,1968
2012,Qtr 1,March,15,North America,39413.6
2012,Qtr 1,March,16,Asia,11819.4
2012,Qtr 1,March,16,Europe,11219.88
2012,Qtr 1,March,16,North America,15563.85
2012,Qtr 1,March,17,Asia,3223.488
2012,Qtr 1,March,17,Europe,13565.82
2012,Qtr 1,March,17,North America,35988.65
2012,Qtr 1,March,18,Asia,13364.94
2012,Qtr 1,March,18,Europe,24521.7
2012,Qtr 1,March,18,North America,27196.5
2012,Qtr 1,March,19,Asia,2905.216
2012,Qtr 1,March,19,Europe,11034
2012,Qtr 1,March,19,North America,27389.9
2012,Qtr 1,March,20,Asia,9209.1
2012,Qtr 1,March,20,Europe,19032
2012,Qtr 1,March,20,North America,21997.6
2012,Qtr 1,March,21,Asia,2694.314
2012,Qtr 1,March,21,Europe,16506
2012,Qtr 1,March,21,North America,38148.8
2012,Qtr 1,March,22,Asia,11592.296
2012,Qtr 1,March,22,Europe,9195.78
2012,Qtr 1,March,22,North America,108745.6
2012,Qtr 1,March,23,Asia,6864.81
2012,Qtr 1,March,23,Europe,21252
2012,Qtr 1,March,23,North America,49208.9
2012,Qtr 1,March,24,Europe,18125.4
2012,Qtr 1,March,24,North America,27555.95
2012,Qtr 1,March,25,Asia,1824.676
2012,Qtr 1,March,25,Europe,32000.28
2012,Qtr 1,March,25,North America,16101
2012,Qtr 1,March,26,Asia,14988.346
2012,Qtr 1,March,26,Europe,9899.64
2012,Qtr 1,March,26,North America,34999.75
2012,Qtr 1,March,27,Asia,39.96
2012,Qtr 1,March,27,Europe,24180
2012,Qtr 1,March,27,North America,37285.8
2012,Qtr 1,March,28,Asia,490.2
2012,Qtr 1,March,28,Europe,20033.46
2012,Qtr 1,March,28,North America,35623.15
2012,Qtr 1,March,29,Asia,7251.8
2012,Qtr 1,March,29,Europe,4224
2012,Qtr 1,March,29,North America,28808
2012,Qtr 1,March,30,Asia,12055.39
2012,Qtr 1,March,30,Europe,20170.68
2012,Qtr 1,March,30,North America,77265.45
2012,Qtr 1,March,31,Asia,3853.8
2012,Qtr 1,March,31,Europe,43846.62
2012,Qtr 1,March,31,North America,40952.2
2012,Qtr 2,April,1,Asia,182.21
2012,Qtr 2,April,1,Europe,3348.96
2012,Qtr 2,April,1,North America,46650.5
2012,Qtr 2,April,2,Asia,9071.6
2012,Qtr 2,April,2,Europe,5267.4
2012,Qtr 2,April,2,North America,43209.5
2012,Qtr 2,April,3,Europe,21210
2012,Qtr 2,April,3,North America,108595.2
2012,Qtr 2,April,4,Europe,16155.6
2012,Qtr 2,April,4,North America,83069.25
2012,Qtr 2,April,5,Asia,6580.2
2012,Qtr 2,April,5,Europe,6604.9
2012,Qtr 2,April,5,North America,104610.7
2012,Qtr 2,April,6,Asia,4953.3
2012,Qtr 2,April,6,Europe,6684
2012,Qtr 2,April,6,North America,54795.45
2012,Qtr 2,April,7,Asia,1646.583
2012,Qtr 2,April,7,Europe,3030
2012,Qtr 2,April,7,North America,51989.55
2012,Qtr 2,April,8,Asia,28301.1
2012,Qtr 2,April,8,Europe,12348.5
2012,Qtr 2,April,8,North America,11579.15
2012,Qtr 2,April,9,Asia,3120
2012,Qtr 2,April,9,Europe,3573.5
2012,Qtr 2,April,9,North America,23256.3
2012,Qtr 2,April,10,Asia,23727.205
2012,Qtr 2,April,10,Europe,7981.8
2012,Qtr 2,April,10,North America,19846.3
2012,Qtr 2,April,11,Asia,2232.564
2012,Qtr 2,April,11,Europe,28407.9
2012,Qtr 2,April,11,North America,17848.2
2012,Qtr 2,April,12,Asia,13562.3
2012,Qtr 2,April,12,Europe,4362
2012,Qtr 2,April,12,North America,33679.35
2012,Qtr 2,April,13,Asia,23894.44
2012,Qtr 2,April,13,Europe,45888.6
2012,Qtr 2,April,13,North America,45228
2012,Qtr 2,April,14,Asia,5097.6
2012,Qtr 2,April,14,Europe,10515
2012,Qtr 2,April,14,North America,61513.95
2012,Qtr 2,April,15,Asia,3323.639
2012,Qtr 2,April,15,Europe,5310
2012,Qtr 2,April,15,North America,7793.5
2012,Qtr 2,April,16,Asia,11285.984
2012,Qtr 2,April,16,Europe,8469.85
2012,Qtr 2,April,16,North America,65894.1
2012,Qtr 2,April,17,Europe,12219.95
2012,Qtr 2,April,17,North America,34274.65
2012,Qtr 2,April,18,Asia,32334.032
2012,Qtr 2,April,18,Europe,10141.7
2012,Qtr 2,April,18,North America,40814.95
2012,Qtr 2,April,19,Europe,5767.7
2012,Qtr 2,April,19,North America,35466.65
2012,Qtr 2,April,20,Asia,7097
2012,Qtr 2,April,20,Europe,12123.45
2012,Qtr 2,April,20,North America,46299.75
2012,Qtr 2,April,21,Asia,29885.31
2012,Qtr 2,April,21,Europe,3529.95
2012,Qtr 2,April,21,North America,66839.9
2012,Qtr 2,April,22,Asia,6572.4
2012,Qtr 2,April,22,Europe,9856.3
2012,Qtr 2,April,22,North America,44500.3
2012,Qtr 2,April,23,Asia,6738.2
2012,Qtr 2,April,23,Europe,17854.95
2012,Qtr 2,April,23,North America,55845.2
2012,Qtr 2,April,24,Asia,6209.884
2012,Qtr 2,April,24,Europe,24368.45
2012,Qtr 2,April,24,North America,15909.35
2012,Qtr 2,April,25,Asia,4436.502
2012,Qtr 2,April,25,Europe,37945
2012,Qtr 2,April,25,North America,36759.7
2012,Qtr 2,April,26,Asia,2791.04
2012,Qtr 2,April,26,Europe,2310
2012,Qtr 2,April,26,North America,41474.25
2012,Qtr 2,April,27,Asia,6707.324
2012,Qtr 2,April,27,Europe,21936.95
2012,Qtr 2,April,27,North America,32269.65
2012,Qtr 2,April,28,Asia,12712.6
2012,Qtr 2,April,28,Europe,5504.55
2012,Qtr 2,April,28,North America,11647.6
2012,Qtr 2,April,29,Asia,19487.06
2012,Qtr 2,April,29,Europe,14690
2012,Qtr 2,April,29,North America,52801.55
2012,Qtr 2,April,30,Asia,16963.282
2012,Qtr 2,April,30,Europe,17974
2012,Qtr 2,April,30,North America,32624.05
2012,Qtr 2,May,1,Asia,36027.958
2012,Qtr 2,May,1,Europe,6429.7
2012,Qtr 2,May,1,North America,42513.9
2012,Qtr 2,May,2,Asia,5114.6
2012,Qtr 2,May,2,Europe,5836.8
2012,Qtr 2,May,2,North America,62399.8
2012,Qtr 2,May,3,Asia,7342.8
2012,Qtr 2,May,3,Europe,13914.5
2012,Qtr 2,May,3,North America,58488.95
2012,Qtr 2,May,4,Asia,19346.68
2012,Qtr 2,May,4,Europe,1000
2012,Qtr 2,May,4,North America,15662.45
2012,Qtr 2,May,5,Asia,17100.3
2012,Qtr 2,May,5,Europe,7379.9
2012,Qtr 2,May,5,North America,24688.05
2012,Qtr 2,May,6,Asia,5901.802
2012,Qtr 2,May,6,Europe,15512
2012,Qtr 2,May,6,North America,58511.4
2012,Qtr 2,May,7,Asia,907.484
2012,Qtr 2,May,7,Europe,16151.95
2012,Qtr 2,May,7,North America,7548.1
2012,Qtr 2,May,8,Asia,16294.8
2012,Qtr 2,May,8,Europe,5038.9
2012,Qtr 2,May,8,North America,35547.2
2012,Qtr 2,May,9,Asia,13343.94
2012,Qtr 2,May,9,Europe,21340
2012,Qtr 2,May,9,North America,60144.2
2012,Qtr 2,May,10,Asia,42949.5
2012,Qtr 2,May,10,Europe,7790
2012,Qtr 2,May,10,North America,44419.85
2012,Qtr 2,May,11,Asia,973.5
2012,Qtr 2,May,11,Europe,11799.4
2012,Qtr 2,May,11,North America,69713.3
2012,Qtr 2,May,12,Asia,144.942
2012,Qtr 2,May,12,North America,16860.45
2012,Qtr 2,May,13,Asia,30095.1
2012,Qtr 2,May,13,Europe,4742
2012,Qtr 2,May,13,North America,31422
2012,Qtr 2,May,14,Asia,23652.6
2012,Qtr 2,May,14,Europe,6785
2012,Qtr 2,May,14,North America,32126
2012,Qtr 2,May,15,Asia,3849.3
2012,Qtr 2,May,15,Europe,45620
2012,Qtr 2,May,15,North America,44219.8
2012,Qtr 2,May,16,Asia,24647.03
2012,Qtr 2,May,16,Europe,11640
2012,Qtr 2,May,16,North America,49424.95
2012,Qtr 2,May,17,Asia,2703.84
2012,Qtr 2,May,17,Europe,6578.5
2012,Qtr 2,May,17,North America,44464.15
2012,Qtr 2,May,18,Asia,3494.35
2012,Qtr 2,May,18,Europe,9733
2012,Qtr 2,May,18,North America,26123.3
2012,Qtr 2,May,19,Asia,215.88
2012,Qtr 2,May,19,Europe,11119.9
2012,Qtr 2,May,19,North America,20174.9
2012,Qtr 2,May,20,Europe,2124
2012,Qtr 2,May,20,North America,31130.2
2012,Qtr 2,May,21,Asia,14260.042
2012,Qtr 2,May,21,Europe,6024.9
2012,Qtr 2,May,21,North America,47898.5
2012,Qtr 2,May,22,Europe,11221.95
2012,Qtr 2,May,22,North America,34547.35
2012,Qtr 2,May,23,Asia,10330.16
2012,Qtr 2,May,23,Europe,13990
2012,Qtr 2,May,23,North America,65409.35
2012,Qtr 2,May,24,Asia,3313.105
2012,Qtr 2,May,24,Europe,11634.95
2012,Qtr 2,May,24,North America,16022.8
2012,Qtr 2,May,25,Asia,13392.804
2012,Qtr 2,May,25,Europe,7664.95
2012,Qtr 2,May,25,North America,46774.4
2012,Qtr 2,May,26,Asia,20601.305
2012,Qtr 2,May,26,Europe,57158.65
2012,Qtr 2,May,26,North America,31917.8
2012,Qtr 2,May,27,Asia,9316.62
2012,Qtr 2,May,27,Europe,10584
2012,Qtr 2,May,27,North America,28520.95
2012,Qtr 2,May,28,Europe,13000
2012,Qtr 2,May,28,North America,22200.8
2012,Qtr 2,May,29,Asia,4195.8
2012,Qtr 2,May,29,Europe,19280
2012,Qtr 2,May,29,North America,70044.65
2012,Qtr 2,May,30,Asia,22875.2
2012,Qtr 2,May,30,Europe,2388.8
2012,Qtr 2,May,30,North America,21426.25
2012,Qtr 2,May,31,Asia,13230.631
2012,Qtr 2,May,31,Europe,15694.9
2012,Qtr 2,May,31,North America,39132.9
2012,Qtr 2,June,1,Asia,17228.103
2012,Qtr 2,June,1,Europe,27229.9
2012,Qtr 2,June,1,North America,50001.25
2012,Qtr 2,June,2,Asia,13908.336
2012,Qtr 2,June,2,Europe,25889.6
2012,Qtr 2,June,2,North America,45703.6
2012,Qtr 2,June,3,Asia,29037.528
2012,Qtr 2,June,3,Europe,12079.1
2012,Qtr 2,June,3,North America,16720.05
2012,Qtr 2,June,4,Asia,13404
2012,Qtr 2,June,4,Europe,8671.3
2012,Qtr 2,June,4,North America,56447.503
2012,Qtr 2,June,5,Asia,4787.88
2012,Qtr 2,June,5,Europe,1074.45
2012,Qtr 2,June,5,North America,30651.164
2012,Qtr 2,June,6,Asia,9828
2012,Qtr 2,June,6,Europe,13436.25
2012,Qtr 2,June,6,North America,51050.343
2012,Qtr 2,June,7,Asia,7565.88
2012,Qtr 2,June,7,North America,32664.672
2012,Qtr 2,June,8,Asia,16702.14
2012,Qtr 2,June,8,Europe,9575
2012,Qtr 2,June,8,North America,25862.291
2012,Qtr 2,June,9,Asia,4680
2012,Qtr 2,June,9,Europe,3619.5
2012,Qtr 2,June,9,North America,52304.496
2012,Qtr 2,June,10,Europe,7489.75
2012,Qtr 2,June,10,North America,38946.637
2012,Qtr 2,June,11,Europe,18210.5
2012,Qtr 2,June,11,North America,39412.28
2012,Qtr 2,June,12,Asia,40833.42
2012,Qtr 2,June,12,Europe,1149.5
2012,Qtr 2,June,12,North America,45953.47
2012,Qtr 2,June,13,Asia,7428
2012,Qtr 2,June,13,Europe,7184.95
2012,Qtr 2,June,13,North America,44180.007
2012,Qtr 2,June,14,Asia,15036
2012,Qtr 2,June,14,Europe,12699.3
2012,Qtr 2,June,14,North America,45117.349
2012,Qtr 2,June,15,Asia,4564.68
2012,Qtr 2,June,15,Europe,21650
2012,Qtr 2,June,15,North America,30158.6
2012,Qtr 2,June,16,Asia,5639.64
2012,Qtr 2,June,16,Europe,609.95
2012,Qtr 2,June,16,North America,21664.749
2012,Qtr 2,June,17,Asia,4495.92
2012,Qtr 2,June,17,Europe,9124.5
2012,Qtr 2,June,17,North America,50718.986
2012,Qtr 2,June,18,Asia,6575.76
2012,Qtr 2,June,18,Europe,6560
2012,Qtr 2,June,18,North America,28364.663
2012,Qtr 2,June,19,Asia,7583.94
2012,Qtr 2,June,19,Europe,2050.95
2012,Qtr 2,June,19,North America,57162.005
2012,Qtr 2,June,20,Asia,3216
2012,Qtr 2,June,20,Europe,1608.9
2012,Qtr 2,June,20,North America,111125.434
2012,Qtr 2,June,21,Asia,531
2012,Qtr 2,June,21,Europe,534.4
2012,Qtr 2,June,21,North America,22369.445
2012,Qtr 2,June,22,Asia,190.8
2012,Qtr 2,June,22,Europe,8594.9
2012,Qtr 2,June,22,North America,23243.22
2012,Qtr 2,June,23,Asia,12740.4
2012,Qtr 2,June,23,Europe,5619
2012,Qtr 2,June,23,North America,55362.849
2012,Qtr 2,June,24,Asia,30324
2012,Qtr 2,June,24,Europe,4959
2012,Qtr 2,June,24,North America,48522.249
2012,Qtr 2,June,25,Asia,15608.4
2012,Qtr 2,June,25,Europe,5824.8
2012,Qtr 2,June,25,North America,18812.773
2012,Qtr 2,June,26,Asia,1019.94
2012,Qtr 2,June,26,Europe,15842.55
2012,Qtr 2,June,26,North America,42531.22
2012,Qtr 2,June,27,Asia,15815.82
2012,Qtr 2,June,27,Europe,2825
2012,Qtr 2,June,27,North America,14027.22
2012,Qtr 2,June,28,Asia,6203.88
2012,Qtr 2,June,28,Europe,20710.75
2012,Qtr 2,June,28,North America,31380.372
2012,Qtr 2,June,29,Asia,8556.24
2012,Qtr 2,June,29,Europe,8189.8
2012,Qtr 2,June,29,North America,12521.95
2012,Qtr 2,June,30,Europe,19194.8
2012,Qtr 2,June,30,North America,35193.011
2012,Qtr 3,July,1,Asia,10393.86
2012,Qtr 3,July,1,Europe,12605
2012,Qtr 3,July,1,North America,27611.183
2012,Qtr 3,July,2,Asia,16122
2012,Qtr 3,July,2,Europe,12879.9
2012,Qtr 3,July,2,North America,45464.6
2012,Qtr 3,July,3,Asia,4368
2012,Qtr 3,July,3,Europe,19995
2012,Qtr 3,July,3,North America,48402.368
2012,Qtr 3,July,4,Asia,12948
2012,Qtr 3,July,4,Europe,17199.8
2012,Qtr 3,July,4,North America,38502.302
2012,Qtr 3,July,5,Asia,2567.5
2012,Qtr 3,July,5,Europe,17422.9
2012,Qtr 3,July,5,North America,46225.771
2012,Qtr 3,July,6,Asia,8389.5
2012,Qtr 3,July,6,Europe,19208.413
2012,Qtr 3,July,6,North America,24902.369
